"","LOC_ID","latitude","longitude","Year","yard_type_pavement","yard_type_garden","yard_type_landsca","yard_type_woods","yard_type_desert","hab_dcid_woods","hab_evgr_woods","hab_mixed_woods","hab_orchard","hab_park","hab_water_fresh","hab_water_salt","hab_residential","hab_industrial","hab_agricultural","hab_desert_scrub","hab_young_woods","hab_swamp","hab_marsh","evgr_trees_atleast","evgr_shrbs_atleast","dcid_trees_atleast","dcid_shrbs_atleast","fru_trees_atleast","cacti_atleast","brsh_piles_atleast","water_srcs_atleast","bird_baths_atleast","nearby_feeders","squirrels","cats","dogs","humans","housing_density","fed_yr_round","fed_in_jan","fed_in_feb","fed_in_mar","fed_in_apr","fed_in_may","fed_in_jun","fed_in_jul","fed_in_aug","fed_in_sep","fed_in_oct","fed_in_nov","fed_in_dec","numfeeders_suet","numfeeders_ground","numfeeders_hanging","numfeeders_platfrm","numfeeders_humming","numfeeders_water","numfeeders_thistle","numfeeders_fruit","numfeeders_hopper","numfeeders_tube","numfeeders_other","population_atleast","count_area_size_sq_m_atleast","create_dt","supp_food"
"1","L1001179",35.1331763,-82.6860023,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,11,11,NA,NA,1,1,1,0,0,0,0,0,1,NA,0,0,0,0,0,0,1,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,375.01,"2010-09-29T15:05:55Z",NA
"2","L1001179",35.1331763,-82.6860023,2019,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,11,11,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,1,1,NA,NA,0,0,4,1,1,375.01,"2019-05-05T08:40:04Z",NA
"3","L1001179",35.1331763,-82.6860023,2020,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,11,11,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,1,1,NA,NA,0,3,1,0,1,375.01,"2020-04-26T13:41:52Z",NA
"4","L10088317",35.5755313,-82.5872977,2021,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,11,4,11,4,11,0,1,1,1,1,1,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,1,NA,NA,1,1,0,0,25001,0.01,"2020-12-03T06:55:02Z",NA
"5","L10088317",35.5755313,-82.5872977,2020,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,11,4,11,4,11,0,1,1,1,1,1,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,0,1,NA,NA,1,2,0,0,25001,0.01,"2019-10-28T08:52:59Z",NA
"6","L10128008",35.1495337,-78.9704937,2020,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,1,0,0,0,0,1,0,1,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,1,0,NA,NA,0,0,1,1,25001,1.01,"2019-11-08T14:41:43Z",NA
"7","L10131575",35.0376118,-80.774589,2022,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,11,1,11,11,1,0,0,0,1,0,1,0,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,0,0,NA,NA,0,0,2,0,100001,NA,"2022-02-19T08:31:38Z",1
"8","L10131575",35.0376118,-80.774589,2021,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,11,1,11,11,1,0,0,0,1,0,1,0,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,2,NA,NA,0,0,2,0,100001,375.01,"2021-04-04T11:42:21Z",NA
"9","L10131575",35.0376118,-80.774589,2023,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,11,1,11,11,1,0,0,0,1,0,1,0,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,0,0,NA,NA,0,0,2,0,100001,NA,"2023-01-08T14:55:43Z",1
"10","L10131575",35.0376118,-80.774589,2020,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,11,1,11,11,11,0,0,0,1,0,1,0,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,2,NA,NA,0,0,1,0,100001,100.01,"2019-11-09T11:44:54Z",NA
"11","L10136641",36.010601,-80.36851,2020,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,0,NA,NA,0,0,1,1,5001,100.01,"2019-11-10T12:17:39Z",NA
"12","L10136641",36.010601,-80.36851,2023,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,4,4,1,4,0,1,0,1,1,0,0,1,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,1,1,NA,NA,0,1,1,0,5001,NA,"2022-11-20T16:31:37Z",1
"13","L10136641",36.010601,-80.36851,2022,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,4,4,1,4,0,1,0,1,1,0,0,1,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,1,1,NA,NA,0,1,1,0,5001,NA,"2021-11-21T22:57:34Z",1
"14","L10136641",36.010601,-80.36851,2021,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,4,1,1,4,0,1,0,1,1,0,0,1,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,1,1,NA,NA,0,0,4,1,5001,100.01,"2021-01-19T10:49:37Z",NA
"15","L10137666",36.0531482,-79.5294537,2022,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,4,1,1,1,1,0,1,1,1,0,1,0,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,0,0,NA,NA,0,1,3,0,25001,NA,"2021-11-30T16:04:11Z",1
"16","L10137666",36.0531482,-79.5294537,2020,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,4,1,4,1,1,0,0,1,1,0,0,1,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,0,NA,NA,0,2,2,0,25001,100.01,"2019-11-10T15:22:50Z",NA
